"Category","ItemNo","ItemName","Specification","ExpectedImage","ImagePath"
"PPR Plumbing Green Pipes & Fittings","1","PPR Pipe","20mm (1/2"")","ppr_item_1.jpg","catalog_images/ppr_item_1.jpg"
"PPR Plumbing Green Pipes & Fittings","2","PPR Pipe","25mm (3/4"")","ppr_item_2.jpg","catalog_images/ppr_item_2.jpg"
"PPR Plumbing Green Pipes & Fittings","3","PPR Pipe","32mm (1"")","ppr_item_3.jpg","catalog_images/ppr_item_3.jpg"
"PPR Plumbing Green Pipes & Fittings","4","PPR Pipe","40mm (1 1/4"")","ppr_item_4.jpg","catalog_images/ppr_item_4.jpg"
"PPR Plumbing Green Pipes & Fittings","5","Elbow 90°","20mm (1/2"")","ppr_item_5.jpg","catalog_images/ppr_item_5.jpg"
"PPR Plumbing Green Pipes & Fittings","6","Elbow 90°","25mm (3/4"")","ppr_item_6.jpg","catalog_images/ppr_item_6.jpg"
"PPR Plumbing Green Pipes & Fittings","7","Elbow 90°","32mm (1"")","ppr_item_7.jpg","catalog_images/ppr_item_7.jpg"
"PPR Plumbing Green Pipes & Fittings","8","Elbow 90°","40mm (1 1/4"")","ppr_item_8.jpg","catalog_images/ppr_item_8.jpg"
"PPR Plumbing Green Pipes & Fittings","9","Elbow 45°","20mm (1/2"")","ppr_item_9.jpg","catalog_images/ppr_item_9.jpg"
"PPR Plumbing Green Pipes & Fittings","10","Elbow 45°","25mm (3/4"")","ppr_item_10.jpg","catalog_images/ppr_item_10.jpg"
"PPR Plumbing Green Pipes & Fittings","11","Elbow 45°","32mm (1"")","ppr_item_11.jpg","catalog_images/ppr_item_11.jpg"
"PPR Plumbing Green Pipes & Fittings","12","Elbow 45°","40mm (1 1/4"")","ppr_item_12.jpg","catalog_images/ppr_item_12.jpg"
"PPR Plumbing Green Pipes & Fittings","13","Tee Equal","20mm (1/2"")","ppr_item_13.jpg","catalog_images/ppr_item_13.jpg"
"PPR Plumbing Green Pipes & Fittings","14","Tee Equal","25mm (3/4"")","ppr_item_14.jpg","catalog_images/ppr_item_14.jpg"
"PPR Plumbing Green Pipes & Fittings","15","Tee Equal","32mm (1"")","ppr_item_15.jpg","catalog_images/ppr_item_15.jpg"
"PPR Plumbing Green Pipes & Fittings","16","Tee Equal","40mm (1 1/4"")","ppr_item_16.jpg","catalog_images/ppr_item_16.jpg"
"PPR Plumbing Green Pipes & Fittings","17","Coupler","20mm (1/2"")","ppr_item_17.jpg","catalog_images/ppr_item_17.jpg"
"PPR Plumbing Green Pipes & Fittings","18","Coupler","25mm (3/4"")","ppr_item_18.jpg","catalog_images/ppr_item_18.jpg"
"PPR Plumbing Green Pipes & Fittings","19","Coupler","32mm (1"")","ppr_item_19.jpg","catalog_images/ppr_item_19.jpg"
"PPR Plumbing Green Pipes & Fittings","20","Coupler","40mm (1 1/4"")","ppr_item_20.jpg","catalog_images/ppr_item_20.jpg"
"PPR Plumbing Green Pipes & Fittings","21","Male Adapter","20mm (1/2"")","ppr_item_21.jpg","catalog_images/ppr_item_21.jpg"
"PPR Plumbing Green Pipes & Fittings","22","Male Adapter","25mm (3/4"")","ppr_item_22.jpg","catalog_images/ppr_item_22.jpg"
"PPR Plumbing Green Pipes & Fittings","23","Female Adapter","20mm (1/2"")","ppr_item_23.jpg","catalog_images/ppr_item_23.jpg"
