Master Code,Item Name,Image url
MAT-000001,Adhesive - Synthetic Resin - Fevicol SH - 1kg,https://www.buildingsteps.com/images/thumbs/000/0003229_fevicol-sh-1kg-synthetic-resin-adhesives-pack-of-24_437.webp
MAT-000002,Adhesive - Synthetic Resin - Fevicol SH - 5kg,Adhesive - PU Based - Araldite - 200ml Image
MAT-000003,Adhesive - PU Based - Araldite - 200ml,Adhesive Spray - Multipurpose - Pidilite - 500ml Image
MAT-000004,Adhesive Spray - Multipurpose - Pidilite - 500ml,Adhesive Spray - Foam Bonding - Fevicol - 500ml Image
MAT-000005,Adhesive Spray - Foam Bonding - Fevicol - 500ml,Adhesive Spray - Laminate Fix - Generic - 500ml Image
MAT-000006,Adhesive Spray - Laminate Fix - Generic - 500ml,Aerocon Block - AAC - 600x200x75mm Image
MAT-000007,Aerocon Block - AAC - 600x200x75mm,Aerocon Block - AAC - 600x200x100mm Image
MAT-000008,Aerocon Block - AAC - 600x200x100mm,Aerocon Block - AAC - 600x200x150mm Image
MAT-000009,Aerocon Block - AAC - 600x200x150mm,Aerocon Block - AAC - 600x200x200mm Image
MAT-000010,Aerocon Block - AAC - 600x200x200mm,Aerocon Block - AAC - 600x200x230mm Image
MAT-000011,Aerocon Block - AAC - 600x200x230mm,Kitchen Cutlery Basket SS 450mm – Godrej Image
MAT-000012,Kitchen Cutlery Basket SS 450mm – Godrej,Kitchen Cutlery Basket SS 600mm – Ozone Image
MAT-000013,Kitchen Cutlery Basket SS 600mm – Ozone,Kitchen Plate Rack SS 450mm – Godrej Image
MAT-000014,Kitchen Plate Rack SS 450mm – Godrej,Kitchen Plate Rack SS 600mm – Ozone Image
MAT-000015,Kitchen Plate Rack SS 600mm – Ozone,Kitchen Cutlery Basket SS 350mm – Godrej Image
MAT-000016,Kitchen Cutlery Basket SS 350mm – Godrej,Kitchen Cutlery Basket SS 300mm – Ozone Image
MAT-000017,Kitchen Cutlery Basket SS 300mm – Ozone,Kitchen Plate Rack SS 350mm – Ebco Image
MAT-000018,Kitchen Plate Rack SS 350mm – Ebco,Kitchen Plate Rack SS 300mm – Godrej Image
MAT-000019,Kitchen Plate Rack SS 300mm – Godrej,Kitchen Cutlery Basket SS 700mm – Hettich Image
MAT-000020,Kitchen Cutlery Basket SS 700mm – Hettich,Kitchen Cutlery Basket SS 800mm – Häfele Image
MAT-000021,Kitchen Cutlery Basket SS 800mm – Häfele,Kitchen Plate Rack SS 700mm – Ebco Image
MAT-000022,Kitchen Plate Rack SS 700mm – Ebco,Kitchen Plate Rack SS 800mm – Hettich Image
MAT-000023,Kitchen Plate Rack SS 800mm – Hettich,Bathroom - Faucet - Basin Mixer - Jaquar Image
